"SpeciesName","LW_SVSPP","Season","Gender","N","ln_a","SEa","b","SEb","SE_estimate","r2","lna1","lna","SEASON"
"Winter skate",23,"Spring","Female",1760,"?13.1083",0.0464,3.3285,0.0118,0.1299,0.9783,13.1083,-13.1083,"SPRING"
"Winter skate",23,"Autumn","Combined",2754,"?13.1531",0.0302,3.3199,0.0075,0.1177,0.9861,13.1531,-13.1531,"FALL"
"Winter skate",23,"Autumn","Male",1161,"?13.0591",0.0417,3.2904,0.0103,0.1178,0.9888,13.0591,-13.0591,"FALL"
"Winter skate",23,"Autumn","Female",1583,"?13.3419",0.043,3.3719,0.0108,0.1133,0.9841,13.3419,-13.3419,"FALL"
"Rosette skate",25,"Spring","Combined",10,"?13.6734",1.6389,3.3526,0.4508,0.1003,0.8737,13.6734,-13.6734,"SPRING"
"Rosette skate",25,"Autumn","Combined",22,"?12.5504",0.2384,3.0718,0.069,0.1086,0.99,12.5504,-12.5504,"FALL"
"Rosette skate",25,"Autumn","Male",11,"?12.4771",0.1835,3.0307,0.0537,0.0607,0.9972,12.4771,-12.4771,"FALL"
"Rosette skate",25,"Autumn","Female",11,"?12.4737",0.3467,3.0688,0.0993,0.1073,0.9907,12.4737,-12.4737,"FALL"
"Smooth  skate",27,"Spring","Combined",60,"?12.5408",0.2045,3.0655,0.0553,0.1322,0.9815,12.5408,-12.5408,"SPRING"
"Smooth  skate",27,"Autumn","Combined",72,"?13.0139",0.1306,3.1812,0.0352,0.1039,0.9915,13.0139,-13.0139,"FALL"
"Thorny skate",28,"Win/Spr/Aut","Combined",1044,"?12.0880",0.0363,3.1197,0.0096,0.1521,0.9902,12.088,-12.088,"FALL"
"Southern stingray",29,"Spr/Aut","Combined",10,"?10.9402",0.3289,3.1428,0.0802,0.0558,0.9948,10.9402,-10.9402,"FALL"
"Roughtail stingray",4,"Autumn","Combined",27,"?10.3320",0.0582,3.0222,0.052,0.1632,0.9908,10.332,-10.332,"FALL"
"Bluntnose stingray",18,"Autumn","Combined",149,"?10.8751",0.0944,3.2275,0.0247,0.1295,0.9915,10.8751,-10.8751,"FALL"
"Bluntnose stingray",18,"Spring","Combined",7,"?10.5372",0.1955,3.0527,0.0453,0.0422,0.9989,10.5372,-10.5372,"SPRING"
"Spiny butterfly ray",375,"Spring","Combined",16,"?13.0635",0.3636,3.306,0.0783,0.1336,0.9922,13.0635,-13.0635,"SPRING"
"Spiny butterfly ray",375,"Autumn","Combined",67,"?12.4197",0.1267,3.1787,0.0281,0.0906,0.9949,12.4197,-12.4197,"FALL"
"Smooth butterfly ray",376,"Autumn","Combined",6,"?11.7989",0.4536,3.0742,0.1104,0.082,0.9949,11.7989,-11.7989,"FALL"
"Bullnose ray",19,"Autumn","Combined",222,"?12.1806",0.0768,3.2885,0.0195,0.0944,0.9923,12.1806,-12.1806,"FALL"
"Cownose ray",270,"Autumn","Combined",78,"?11.8649",0.1821,3.2327,0.0464,0.0754,0.9846,11.8649,-11.8649,"FALL"
"Cownose ray",270,"Spring","Combined",5,"?7.8039",0.8913,2.0958,0.2308,0.0309,0.9649,7.8039,-7.8039,"SPRING"
"Atlantic sturgeon",380,"Spr/Aut","Combined",9,"?14.2902",0.5509,3.4547,0.1164,0.0821,0.9921,14.2902,-14.2902,"FALL"
"American shad",35,"Spr/Aut","Combined",120,"?12.1377",0.1419,3.2207,0.0427,0.1792,0.9797,12.1377,-12.1377,"FALL"
"Blueback herring",34,"Spring","Combined",102,"?12.2146",0.1375,3.2428,0.0472,0.1332,0.9792,12.2146,-12.2146,"SPRING"
"Alewife",33,"Spr/Aut","Combined",20,"?13.3875",0.5321,3.6716,0.1796,0.1936,0.9587,13.3875,-13.3875,"FALL"
"Atlantic herring",32,"Autumn","Combined",3779,"?11.5760",0.0391,2.9794,0.0123,0.1314,0.94,11.576,-11.576,"FALL"
"Atlantic herring",32,"Autumn","Male",1908,"?11.3460",0.0575,2.9055,0.018,0.1235,0.9318,11.346,-11.346,"FALL"
"Atlantic herring",32,"Autumn","Female",1812,"?11.6549",0.066,3.0065,0.0206,0.1365,0.922,11.6549,-11.6549,"FALL"
"Atlantic herring",32,"Spring","Combined",7101,"?11.7972",0.0217,3.0314,0.007,0.1345,0.9636,11.7972,-11.7972,"SPRING"
"Atlantic herring",32,"Spring","Male",3244,"?11.5442",0.0336,2.9545,0.0107,0.1219,0.959,11.5442,-11.5442,"SPRING"
"Atlantic herring",32,"Spring","Female",3384,"?11.5600",0.0322,2.957,0.0103,0.127,0.9607,11.56,-11.56,"SPRING"
"Atlantic herring",32,"Winter","Combined",2126,"?11.2575",0.0455,2.8559,0.0144,0.1303,0.9486,11.2575,-11.2575,"WINTER"
"Round herring",31,"Autumn","Unsexed",313,"?11.4756",0.1509,2.9645,0.0573,0.1167,0.8959,11.4756,-11.4756,"FALL"
"Atlantic thread herring",428,"Autumn","Unsexed",102,"?12.9785",0.1083,3.7242,0.0426,0.178,0.9871,12.9785,-12.9785,"FALL"
"Spanish sardine",429,"Autumn","Combined",98,"?11.8132",0.2994,3.1463,0.1254,0.139,0.8678,11.8132,-11.8132,"FALL"
"Goosefish",197,"Autumn","Combined",961,"?10.7106",0.0404,2.9227,0.0118,0.2007,0.9845,10.7106,-10.7106,"FALL"
"Goosefish",197,"Win/Spr","Combined",2850,"?10.7668",0.0334,2.9302,0.0092,0.19,0.9728,10.7668,-10.7668,"SPRING"
"Goosefish",197,"Win/Spr","Male",1427,"?10.5530",0.0504,2.8696,0.0138,0.1813,0.9681,10.553,-10.553,"SPRING"
"Goosefish",197,"Win/Spr","Female",1356,"?10.8690",0.0494,2.9608,0.0135,0.1957,0.9726,10.869,-10.869,"SPRING"
"Atlantic cod",73,"Winter","Combined",755,"?11.7677",0.0411,3.0527,0.0104,0.1065,0.9913,11.7677,-11.7677,"WINTER"
"Atlantic cod",73,"Spring","Combined",3206,"?11.7803",0.0177,3.0606,0.0045,0.1187,0.993,11.7803,-11.7803,"SPRING"
"Atlantic cod",73,"Autumn","Combined",3078,"?11.9920",0.018,3.1262,0.0047,0.1087,0.9931,11.992,-11.992,"FALL"
"Pollock",75,"Autumn","Combined",1097,"?11.8353",0.0316,3.1151,0.0086,0.1099,0.9917,11.8353,-11.8353,"FALL"
"Pollock",75,"Win/Spr","Combined",1144,"?11.9004",0.0228,3.1024,0.0062,0.1101,0.9954,11.9004,-11.9004,"SPRING"
"Red hake",77,"Winter","Combined",1391,"?12.2601",0.0295,3.0661,0.0092,0.1703,0.9877,12.2601,-12.2601,"WINTER"
"Red hake",77,"Winter","Male",490,"?12.1244",0.0753,3.0164,0.0232,0.1339,0.9719,12.1244,-12.1244,"WINTER"
"Red hake",77,"Winter","Female",720,"?12.4700",0.0562,3.1338,0.0165,0.1258,0.9804,12.47,-12.47,"WINTER"
"Red hake",77,"Spring","Combined",4967,"?12.3743",0.0151,3.0979,0.0046,0.1395,0.9893,12.3743,-12.3743,"SPRING"
"Red hake",77,"Spring","Male",2152,"?12.4431",0.0259,3.1139,0.0079,0.122,0.9863,12.4431,-12.4431,"SPRING"
"Red hake",77,"Spring","Female",2488,"?12.6066",0.0242,3.1684,0.007,0.1153,0.9879,12.6066,-12.6066,"SPRING"
"Red hake",77,"Autumn","Combined",6223,"?12.0276",0.0132,3.0162,0.004,0.169,0.9894,12.0276,-12.0276,"FALL"
"Red hake",77,"Autumn","Male",2355,"?12.1720",0.0356,3.0491,0.0106,0.1193,0.9723,12.172,-12.172,"FALL"
"Red hake",77,"Autumn","Female",3213,"?12.4836",0.0297,3.1533,0.0085,0.1242,0.9773,12.4836,-12.4836,"FALL"
"Spotted hake",78,"Winter","Combined",1816,"?12.1682",0.0267,3.1332,0.0086,0.1647,0.9866,12.1682,-12.1682,"WINTER"
"Spotted hake",78,"Winter","Male",2786,"?12.3328",0.0815,3.1791,0.0263,0.1517,0.9559,12.3328,-12.3328,"WINTER"
"Spotted hake",78,"Winter","Female",4079,"?12.3610",0.0574,3.1957,0.0174,0.1442,0.9722,12.361,-12.361,"WINTER"
"Spotted hake",78,"Spring","Combined",2319,"?11.9892",0.0202,3.0823,0.007,0.1922,0.9881,11.9892,-11.9892,"SPRING"
"Spotted hake",78,"Spring","Male",778,"?12.1924",0.0396,3.1437,0.0134,0.1482,0.9862,12.1924,-12.1924,"SPRING"
"Spotted hake",78,"Spring","Female",1079,"?12.0712",0.0273,3.1139,0.0089,0.1378,0.9914,12.0712,-12.0712,"SPRING"
"Spotted hake",78,"Autumn","Combined",3378,"?11.9634",0.0317,3.0927,0.0101,0.1174,0.9651,11.9634,-11.9634,"FALL"
"Spotted hake",78,"Autumn","Male",1331,"?11.0718",0.0524,2.7812,0.0174,0.0982,0.9506,11.0718,-11.0718,"FALL"
"Spotted hake",78,"Autumn","Female",2038,"?11.8596",0.0423,3.0696,0.0132,0.1124,0.9637,11.8596,-11.8596,"FALL"
"White hake",76,"Autumn","Combined",3889,"?12.4000",0.0193,3.1715,0.0052,0.1363,0.9897,12.4,-12.4,"FALL"
"White hake",76,"Autumn","Male",1790,"?12.6846",0.0341,3.2506,0.0094,0.1203,0.9853,12.6846,-12.6846,"FALL"
"White hake",76,"Autumn","Female",1990,"?12.6741",0.0311,3.2407,0.0081,0.128,0.9878,12.6741,-12.6741,"FALL"
"White hake",76,"Spring","Combined",2054,"?12.9500",0.0294,3.2903,0.0079,0.1165,0.9884,12.95,-12.95,"SPRING"
"White hake",76,"Spring","Male",883,"?12.9063",0.0548,3.2812,0.0151,0.1198,0.9816,12.9063,-12.9063,"SPRING"
"White hake",76,"Spring","Female",1155,"?13.0099",0.0392,3.3039,0.0102,0.113,0.9891,13.0099,-13.0099,"SPRING"
"White hake",76,"Winter","Combined",189,"?13.1714",0.0998,3.3669,0.0268,0.0952,0.9883,13.1714,-13.1714,"WINTER"
"Cusk",84,"Win/Spr/Aut","Combined",186,"?12.2140",0.0706,3.1785,0.0179,0.1006,0.9942,12.214,-12.214,"FALL"
"Haddock",74,"Autumn","Combined",3959,"?11.8111",0.0127,3.0888,0.0036,0.1183,0.9947,11.8111,-11.8111,"FALL"
"Haddock",74,"Win/Spr","Combined",3166,"?11.8062",0.0157,3.0766,0.0044,0.1004,0.9937,11.8062,-11.8062,"SPRING"
"Haddock",74,"Win/Spr","Male",1447,"?11.7438",0.022,3.0572,0.0061,0.0951,0.9943,11.7438,-11.7438,"SPRING"
"Haddock",74,"Win/Spr","Female",1629,"?11.8655",0.0241,3.0949,0.0066,0.1024,0.9927,11.8655,-11.8655,"SPRING"
"Silver hake",72,"Winter","Combined",2975,"?12.3367",0.0205,3.1056,0.0065,0.1555,0.9873,12.3367,-12.3367,"WINTER"
"Silver hake",72,"Spring","Combined",8158,"?12.4934",0.0126,3.1512,0.0042,0.1538,0.9858,12.4934,-12.4934,"SPRING"
"Silver hake",72,"Autumn","Combined",11965,"?12.1353",0.0098,3.0606,0.0032,0.1713,0.9875,12.1353,-12.1353,"FALL"
"Silver hake",72,"Autumn","Male",4042,"?12.2351",0.029,3.0869,0.0092,0.1193,0.9652,12.2351,-12.2351,"FALL"
"Silver hake",72,"Autumn","Female",6181,"?12.6439",0.0214,3.2186,0.0065,0.1264,0.9755,12.6439,-12.6439,"FALL"
"Offshore hake",69,"Win/Spr/Aut","Combined",145,"?12.2964",0.0927,3.1323,0.0276,0.0969,0.989,12.2964,-12.2964,"FALL"
"Fawn cusk-eel",194,"Spr/Aut","Combined",78,"?13.7333",0.2467,3.2359,0.0813,0.1476,0.9542,13.7333,-13.7333,"FALL"
"Ocean pout",193,"Win/Aut","Combined",1878,"?13.5168",0.0403,3.2995,0.0105,0.145,0.9813,13.5168,-13.5168,"FALL"
"Ocean pout",193,"Spring","Combined",2242,"?13.6429",0.0466,3.3459,0.0119,0.161,0.9725,13.6429,-13.6429,"SPRING"
"Ocean pout",193,"Spring","Male",1060,"?13.6860",0.0688,3.3592,0.0175,0.1632,0.9722,13.686,-13.686,"SPRING"
"Ocean pout",193,"Spring","Female",1142,"?13.6464",0.071,3.3442,0.0182,0.1579,0.9674,13.6464,-13.6464,"SPRING"
"Buckler dory",112,"Spr/Aut","Unsexed",23,"?11.3806",0.1749,3.0387,0.0586,0.1187,0.9922,11.3806,-11.3806,"FALL"
"Acadian redfish",155,"Spr/Aut","Combined",6739,"?11.7005",0.013,3.2036,0.0041,0.1304,0.9888,11.7005,-11.7005,"FALL"
"Acadian redfish",155,"Spr/Aut","Male",2974,"?11.4401",0.0256,3.1151,0.0082,0.1092,0.9797,11.4401,-11.4401,"FALL"
"Acadian redfish",155,"Spr/Aut","Female",3290,"?11.7713",0.0228,3.2297,0.007,0.1161,0.9846,11.7713,-11.7713,"FALL"
"Blackbelly rosefish",156,"Spr/Aut","Combined",38,"?11.1324",0.1238,3.0512,0.0428,0.1407,0.993,11.1324,-11.1324,"FALL"
"Northern searobin",171,"Spring","Combined",17,"?12.9982",0.3821,3.4712,0.1168,0.072,0.9833,12.9982,-12.9982,"SPRING"
"Sea raven",164,"Winter","Combined",257,"?11.5420",0.1523,3.1822,0.0443,0.1906,0.9529,11.542,-11.542,"WINTER"
"Sea raven",164,"Spring","Combined",1449,"?11.3646",0.0575,3.1551,0.0168,0.1988,0.9607,11.3646,-11.3646,"SPRING"
"Sea raven",164,"Autumn","Combined",964,"?11.5001",0.0552,3.1822,0.0162,0.1909,0.9756,11.5001,-11.5001,"FALL"
"Sea raven",164,"Autumn","Male",396,"?11.1562",0.092,3.0726,0.027,0.1771,0.9705,11.1562,-11.1562,"FALL"
"Sea raven",164,"Autumn","Female",513,"?11.7441",0.0808,3.259,0.0235,0.1922,0.9741,11.7441,-11.7441,"FALL"
"Longhorn sculpin",163,"Spring","Combined",2969,"?11.8348",0.0322,3.1067,0.01,0.1226,0.9702,11.8348,-11.8348,"SPRING"
"Longhorn sculpin",163,"Win/Aut","Combined",2464,"?11.5589",0.0257,3.025,0.0081,0.1148,0.9828,11.5589,-11.5589,"FALL"
"Longhorn sculpin",163,"Win/Aut","Male",861,"?11.6352",0.0581,3.0461,0.0184,0.103,0.9696,11.6352,-11.6352,"FALL"
"Longhorn sculpin",163,"Win/Aut","Female",1514,"?11.7330",0.0447,3.08,0.0138,0.1099,0.9706,11.733,-11.733,"FALL"
"Striped bass",139,"Spring","Combined",191,"?11.7959",0.08,3.1383,0.0206,0.1012,0.9919,11.7959,-11.7959,"SPRING"
"Striped bass",139,"Spring","Male",76,"?11.9776",0.1314,3.1998,0.0332,0.0977,0.9921,11.9776,-11.9776,"SPRING"
"Striped bass",139,"Spring","Female",110,"?11.5476",0.0762,3.0627,0.0199,0.0751,0.9955,11.5476,-11.5476,"SPRING"
"Striped bass",139,"Autumn","Combined",102,"?11.3773",0.2788,3.0139,0.0065,0.0967,0.955,11.3773,-11.3773,"FALL"
"Striped bass",139,"Autumn","Male",32,"?10.8121",0.517,2.8888,0.1222,0.0955,0.9491,10.8121,-10.8121,"FALL"
"Striped bass",139,"Autumn","Female",53,"?12.2380",0.3904,3.2072,0.0906,0.0932,0.9609,12.238,-12.238,"FALL"
"Black sea bass",141,"Autumn","Combined",794,"?11.2205",0.0296,3.0225,0.0108,0.1899,0.99,11.2205,-11.2205,"FALL"
"Black sea bass",141,"Autumn","Male",144,"?10.7680",0.1122,2.8679,0.0358,0.1527,0.9783,10.768,-10.768,"FALL"
"Black sea bass",141,"Autumn","Female",393,"?11.0314",0.0747,2.9709,0.0248,0.1295,0.9736,11.0314,-11.0314,"FALL"
"Black sea bass",141,"Spring","Combined",458,"?11.5992",0.0552,3.122,0.0174,0.169,0.986,11.5992,-11.5992,"SPRING"
"Black sea bass",141,"Winter","Combined",998,"?11.4782",0.0343,3.0743,0.0112,0.1825,0.9869,11.4782,-11.4782,"WINTER"
"Bluefish",135,"Winter","Combined",54,"?10.5191",0.3314,2.8071,0.0838,0.1318,0.9557,10.5191,-10.5191,"WINTER"
"Bluefish",135,"Spring","Combined",67,"?10.5744",0.1433,2.804,0.0375,0.1418,0.9885,10.5744,-10.5744,"SPRING"
"Bluefish",135,"Autumn","Combined",2112,"?11.4296",0.0154,3.0548,0.0046,0.1173,0.9952,11.4296,-11.4296,"FALL"
"Greater amberjack",203,"Autumn","Combined",6,"?9.8906",0.2585,2.7221,0.0659,0.0584,0.9977,9.8906,-9.8906,"FALL"
"Scup",143,"Autumn","Combined",2456,"?11.0698",0.0232,3.1365,0.0091,0.153,0.98,11.0698,-11.0698,"FALL"
"Scup",143,"Win/Spr","Combined",853,"?11.5033",0.0448,3.2446,0.0167,0.1705,0.9779,11.5033,-11.5033,"SPRING"
"Vermilion snapper",596,"Spring","Combined",14,"?11.2151",0.2893,3.0106,0.1133,0.1136,0.9833,11.2151,-11.2151,"SPRING"
"Weakfish",145,"Autumn","Combined",3027,"?11.4157",0.0159,2.9575,0.0051,0.1277,0.9911,11.4157,-11.4157,"FALL"
"Weakfish",145,"Autumn","Male",1277,"?11.3755",0.0305,2.9476,0.0094,0.1108,0.9871,11.3755,-11.3755,"FALL"
"Weakfish",145,"Autumn","Female",1374,"?11.4663",0.0263,2.9724,0.0082,0.106,0.9896,11.4663,-11.4663,"FALL"
"Weakfish",145,"Spring","Combined",105,"?12.0264",0.0526,3.1338,0.0159,0.0897,0.9946,12.0264,-12.0264,"SPRING"
"Weakfish",145,"Winter","Combined",13,"?11.5030",0.2349,2.9903,0.0607,0.0725,0.9846,11.503,-11.503,"WINTER"
"Spot",149,"Spring","Combined",14,"?11.0401",0.7513,2.9481,0.2542,0.1441,0.9181,11.0401,-11.0401,"SPRING"
"Spot",149,"Autumn","Combined",92,"?11.8524",0.1859,3.3175,0.065,0.1259,0.9666,11.8524,-11.8524,"FALL"
"Southern kingfish",652,"Autumn","Combined",12,"?12.9112",0.1793,3.4493,0.0565,0.0328,0.9973,12.9112,-12.9112,"FALL"
"Northern kingfish",146,"Autumn","Combined",6,"?12.4904",1.7432,3.2785,0.5332,0.0791,0.9043,12.4904,-12.4904,"FALL"
"Atlantic croaker",136,"Autumn","Combined",995,"?11.5983",0.0368,3.0924,0.0115,0.0884,0.9864,11.5983,-11.5983,"FALL"
"Atlantic spadefish",659,"Spring","Unsexed",22,"?10.1466",0.2692,2.938,0.0758,0.0753,0.9856,10.1466,-10.1466,"SPRING"
"Tautog",177,"Autumn","Combined",9,"?10.9649",0.2126,3.0443,0.0626,0.0425,0.997,10.9649,-10.9649,"FALL"
"Cunner",176,"Spring","Combined",23,"?11.1034",0.2544,3.0162,0.076,0.0842,0.9868,11.1034,-11.1034,"SPRING"
"Cunner",176,"Winter","Combined",5,"?11.1950",0.2075,3.0416,0.0667,0.0903,0.9986,11.195,-11.195,"WINTER"
"Cunner",176,"Autumn","Combined",14,"?11.3943",0.2186,3.1311,0.0672,0.0917,0.9945,11.3943,-11.3943,"FALL"
"Atlantic wolffish",192,"Spr/Aut","Combined",160,"?12.2186",0.1393,3.1439,0.0342,0.1408,0.9816,12.2186,-12.2186,"FALL"
"Atlantic mackerel",121,"Winter","Combined",1371,"?12.6661",0.0491,3.3128,0.0147,0.117,0.9738,12.6661,-12.6661,"WINTER"
"Atlantic mackerel",121,"Spring","Combined",2909,"?12.6713",0.0264,3.3119,0.0079,0.0975,0.9836,12.6713,-12.6713,"SPRING"
"Atlantic mackerel",121,"Spring","Male",1340,"?12.7288",0.0395,3.3305,0.0119,0.0943,0.9833,12.7288,-12.7288,"SPRING"
"Atlantic mackerel",121,"Spring","Female",1475,"?12.6376",0.0376,3.3006,0.0113,0.1004,0.9831,12.6376,-12.6376,"SPRING"
"Atlantic mackerel",121,"Autumn","Combined",771,"?12.3766",0.0598,3.2615,0.0186,0.1057,0.9756,12.3766,-12.3766,"FALL"
"Spanish mackerel",121,"Autumn","Combined",159,"?11.6374",0.1035,3.0242,0.03,0.0924,0.9848,11.6374,-11.6374,"FALL"
"Butterfish",131,"Autumn","Combined",6809,"?10.6315",0.0182,2.9225,0.0077,0.2547,0.9553,10.6315,-10.6315,"FALL"
"Butterfish",131,"Win/Spr","Combined",3496,"?11.6824",0.0314,3.293,0.0122,0.1782,0.9546,11.6824,-11.6824,"SPRING"
"Summer flounder",103,"Autumn","Combined",3082,"?12.2841",0.0271,3.2156,0.0075,0.0965,0.9834,12.2841,-12.2841,"FALL"
"Summer flounder",103,"Autumn","Male",1657,"?12.3572",0.0392,3.2394,0.0111,0.0839,0.981,12.3572,-12.3572,"FALL"
"Summer flounder",103,"Autumn","Female",1396,"?12.4203",0.0433,3.2488,0.0118,0.1072,0.982,12.4203,-12.4203,"FALL"
"Summer flounder",103,"Spring","Combined",1044,"?12.1424",0.039,3.1651,0.0111,0.0903,0.9874,12.1424,-12.1424,"SPRING"
"Summer flounder",103,"Spring","Male",508,"?12.1197",0.0588,3.1602,0.017,0.0847,0.9856,12.1197,-12.1197,"SPRING"
"Summer flounder",103,"Spring","Female",527,"?12.1866",0.0581,3.1759,0.0162,0.0955,0.9865,12.1866,-12.1866,"SPRING"
"Summer flounder",103,"Winter","Combined",5247,"?12.3861",0.026,3.2305,0.0072,0.1192,0.9749,12.3861,-12.3861,"WINTER"
