"SpeciesName","LW_SVSPP","ln_a_andy","ln_a_surv","diff_ln_a","b_andy","b_surv","diff_b"
"ATLANTIC WOLFFISH",192,-11.85260089,-12.2186,0.365999110000001,3.075742721,3.1439,-0.0681572789999998
"ATLANTIC WOLFFISH",192,-11.85260089,-12.4215,0.56889911,3.075742721,3.204004,-0.128261279
"ATLANTIC WOLFFISH",192,-11.85260089,-11.0674,-0.78520089,3.075742721,2.879549,0.196193721
"ATLANTIC WOLFFISH",192,-11.85260089,-12.2186,0.365999110000001,3.052465548,3.1439,-0.0914344520000001
"ATLANTIC WOLFFISH",192,-11.85260089,-12.4215,0.56889911,3.052465548,3.204004,-0.151538452
"ATLANTIC WOLFFISH",192,-11.85260089,-11.0674,-0.78520089,3.052465548,2.879549,0.172916548
"BARNDOOR SKATE",22,-13.26337709,-13.1026,-0.16077709,3.266646849,3.2433,0.0233468489999997
"BARNDOOR SKATE",22,-13.26337709,-13.3224,0.0590229099999995,3.266646849,3.2919,-0.0252531510000003
"BARNDOOR SKATE",22,-13.26337709,-13.1026,-0.16077709,3.256217269,3.2433,0.0129172689999999
"BARNDOOR SKATE",22,-13.26337709,-13.3224,0.0590229099999995,3.256217269,3.2919,-0.0356827310000001
"BARNDOOR SKATE",22,-13.26337709,-13.1026,-0.16077709,3.266694653,3.2433,0.023394653
"BARNDOOR SKATE",22,-13.26337709,-13.3224,0.0590229099999995,3.266694653,3.2919,-0.025205347
"BARNDOOR SKATE",22,-13.26337709,-13.1026,-0.16077709,3.262417923,3.2433,0.019117923
"BARNDOOR SKATE",22,-13.26337709,-13.3224,0.0590229099999995,3.262417923,3.2919,-0.0294820769999999
"BLACK SEA BASS",141,-11.21594193,-11.1223,-0.0936419300000004,3.004252302,2.97213,0.0321223019999999
"BLACK SEA BASS",141,-11.21594193,-10.9315,-0.28444193,3.004252302,2.90928,0.094972302
"BLACK SEA BASS",141,-11.21594193,-11.5992,0.38325807,3.004252302,3.122,-0.117747698
"BLACK SEA BASS",141,-11.21594193,-11.1223,-0.0936419300000004,2.991678273,2.97213,0.0195482730000003
"BLACK SEA BASS",141,-11.21594193,-10.9315,-0.28444193,2.991678273,2.90928,0.0823982730000004
"BLACK SEA BASS",141,-11.21594193,-11.5992,0.38325807,2.991678273,3.122,-0.130321727
"BLACK SEA BASS",141,-11.21594193,-11.1223,-0.0936419300000004,NA,2.97213,NA
"BLACK SEA BASS",141,-11.21594193,-10.9315,-0.28444193,NA,2.90928,NA
"BLACK SEA BASS",141,-11.21594193,-11.5992,0.38325807,NA,3.122,NA
"BLACK SEA BASS",141,-11.21594193,-11.1223,-0.0936419300000004,2.994252398,2.97213,0.022122398
"BLACK SEA BASS",141,-11.21594193,-10.9315,-0.28444193,2.994252398,2.90928,0.0849723980000001
"BLACK SEA BASS",141,-11.21594193,-11.5992,0.38325807,2.994252398,3.122,-0.127747602
"BLACKBELLY ROSEFISH",156,-11.26550344,-11.1324,-0.133103439999999,3.088300014,3.0512,0.037100014
"BLACKBELLY ROSEFISH",156,-11.26550344,-11.1324,-0.133103439999999,3.084631503,3.0512,0.0334315030000001
"BLACKBELLY ROSEFISH",156,-11.26550344,-11.1324,-0.133103439999999,3.090863962,3.0512,0.0396639619999997
"BLACKBELLY ROSEFISH",156,-11.26550344,-11.1324,-0.133103439999999,3.04922569,3.0512,-0.00197431000000003
"BLUEBACK HERRING",34,-12.91480115,-12.2146,-0.70020115,3.485335291,3.2428,0.242535291
"BLUEBACK HERRING",34,-12.91480115,-12.2146,-0.70020115,3.477480874,3.2428,0.234680874
"BLUEBACK HERRING",34,-12.91480115,-12.2146,-0.70020115,NA,3.2428,NA
"BLUEBACK HERRING",34,-12.91480115,-12.2146,-0.70020115,3.480649163,3.2428,0.237849163
"BLUEFISH",135,-11.53869896,-10.5744,-0.964298959999999,3.07924548,2.804,0.27524548
"BLUEFISH",135,-11.53869896,-11.0421,-0.49659896,3.07924548,2.9718,0.10744548
"BLUEFISH",135,-11.53869896,-10.6743,-0.864398959999999,3.07924548,2.8647,0.21454548
"BLUEFISH",135,-11.53869896,-10.5744,-0.964298959999999,3.055960122,2.804,0.251960122
"BLUEFISH",135,-11.53869896,-11.0421,-0.49659896,3.055960122,2.9718,0.0841601220000001
"BLUEFISH",135,-11.53869896,-10.6743,-0.864398959999999,3.055960122,2.8647,0.191260122
"BLUEFISH",135,-11.53869896,-10.5744,-0.964298959999999,3.037791717,2.804,0.233791717
"BLUEFISH",135,-11.53869896,-11.0421,-0.49659896,3.037791717,2.9718,0.0659917170000002
"BLUEFISH",135,-11.53869896,-10.6743,-0.864398959999999,3.037791717,2.8647,0.173091717
"BLUEFISH",135,-11.53869896,-10.5744,-0.964298959999999,3.064406449,2.804,0.260406449
"BLUEFISH",135,-11.53869896,-11.0421,-0.49659896,3.064406449,2.9718,0.0926064489999998
"BLUEFISH",135,-11.53869896,-10.6743,-0.864398959999999,3.064406449,2.8647,0.199706449
"BLUNTNOSE STINGRAY",18,-10.62276974,-10.6501,0.0273302599999994,3.150218973,3.17029,-0.0200710270000002
"BLUNTNOSE STINGRAY",18,-10.62276974,-11.4107,0.78793026,3.150218973,3.36072,-0.210501027
"BLUNTNOSE STINGRAY",18,-10.62276974,-10.4005,-0.222269740000002,3.150218973,3.11163,0.038588973
"BLUNTNOSE STINGRAY",18,-10.62276974,-10.6501,0.0273302599999994,3.154524459,3.17029,-0.0157655409999999
"BLUNTNOSE STINGRAY",18,-10.62276974,-11.4107,0.78793026,3.154524459,3.36072,-0.206195541
"BLUNTNOSE STINGRAY",18,-10.62276974,-10.4005,-0.222269740000002,3.154524459,3.11163,0.0428944590000002
"BLUNTNOSE STINGRAY",18,-10.62276974,-10.6501,0.0273302599999994,NA,3.17029,NA
"BLUNTNOSE STINGRAY",18,-10.62276974,-11.4107,0.78793026,NA,3.36072,NA
"BLUNTNOSE STINGRAY",18,-10.62276974,-10.4005,-0.222269740000002,NA,3.11163,NA
"BLUNTNOSE STINGRAY",18,-10.62276974,-10.6501,0.0273302599999994,3.133747622,3.17029,-0.036542378
"BLUNTNOSE STINGRAY",18,-10.62276974,-11.4107,0.78793026,3.133747622,3.36072,-0.226972378
"BLUNTNOSE STINGRAY",18,-10.62276974,-10.4005,-0.222269740000002,3.133747622,3.11163,0.0221176220000001
"BUCKLER DORY",112,-10.79047206,-11.3806,0.590127939999999,2.855108656,3.0387,-0.183591344
"BUCKLER DORY",112,-10.79047206,-11.3806,0.590127939999999,2.866583729,3.0387,-0.172116271
"BUCKLER DORY",112,-10.79047206,-11.3806,0.590127939999999,NA,3.0387,NA
"BUCKLER DORY",112,-10.79047206,-11.3806,0.590127939999999,2.876163094,3.0387,-0.162536906
"BULLNOSE RAY",19,-11.73582619,-12.1806,0.444773810000001,3.16913246,3.2885,-0.11936754
"BULLNOSE RAY",19,-11.73582619,-12.1806,0.444773810000001,3.190929438,3.2885,-0.097570562
"BULLNOSE RAY",19,-11.73582619,-12.1806,0.444773810000001,NA,3.2885,NA
"BULLNOSE RAY",19,-11.73582619,-12.1806,0.444773810000001,3.158267204,3.2885,-0.130232796
"BUTTERFISH",131,-11.03929365,-11.6824,0.64310635,3.075080859,3.293,-0.217919141
"BUTTERFISH",131,-11.03929365,-11.6824,0.64310635,3.037875415,3.293,-0.255124585
"BUTTERFISH",131,-11.03929365,-11.6824,0.64310635,3.053852379,3.293,-0.239147621
"BUTTERFISH",131,-11.03929365,-11.6824,0.64310635,3.038974508,3.293,-0.254025492
"CHAIN DOGFISH",14,-12.87205834,-12.9053,0.0332416599999998,3.113354459,3.1282,-0.0148455410000001
"CHAIN DOGFISH",14,-12.87205834,-13.590457,0.71839866,3.113354459,3.334267,-0.220912541
"CHAIN DOGFISH",14,-12.87205834,-13.680266,0.808207659999999,3.113354459,3.369616,-0.256261541
"CHAIN DOGFISH",14,-12.87205834,-12.9053,0.0332416599999998,3.150986401,3.1282,0.0227864009999998
"CHAIN DOGFISH",14,-12.87205834,-13.590457,0.71839866,3.150986401,3.334267,-0.183280599
"CHAIN DOGFISH",14,-12.87205834,-13.680266,0.808207659999999,3.150986401,3.369616,-0.218629599
"CHAIN DOGFISH",14,-12.87205834,-12.9053,0.0332416599999998,NA,3.1282,NA
"CHAIN DOGFISH",14,-12.87205834,-13.590457,0.71839866,NA,3.334267,NA
"CHAIN DOGFISH",14,-12.87205834,-13.680266,0.808207659999999,NA,3.369616,NA
"CHAIN DOGFISH",14,-12.87205834,-12.9053,0.0332416599999998,3.12257822,3.1282,-0.00562178000000024
"CHAIN DOGFISH",14,-12.87205834,-13.590457,0.71839866,3.12257822,3.334267,-0.21168878
"CHAIN DOGFISH",14,-12.87205834,-13.680266,0.808207659999999,3.12257822,3.369616,-0.24703778
"CLEARNOSE SKATE",24,-13.32343694,-13.8683,0.544863059999999,3.285866559,3.4235,-0.137633441
"CLEARNOSE SKATE",24,-13.32343694,-13.8683,0.544863059999999,3.290511879,3.4235,-0.132988121
"CLEARNOSE SKATE",24,-13.32343694,-13.8683,0.544863059999999,3.369022183,3.4235,-0.0544778170000004
"CLEARNOSE SKATE",24,-13.32343694,-13.8683,0.544863059999999,3.283444901,3.4235,-0.140055099
"COWNOSE RAY",270,-11.5079003,-11.44102,-0.0668802999999993,3.128754706,3.1137,0.0150547059999999
"COWNOSE RAY",270,-11.5079003,-11.59491,0.0870097000000012,3.128754706,3.14828,-0.0195252940000001
"COWNOSE RAY",270,-11.5079003,-11.50812,0.0002197000000006,3.128754706,3.12863,0.000124706000000252
"COWNOSE RAY",270,-11.5079003,-11.44102,-0.0668802999999993,3.056635517,3.1137,-0.057064483
"COWNOSE RAY",270,-11.5079003,-11.59491,0.0870097000000012,3.056635517,3.14828,-0.0916444830000001
"COWNOSE RAY",270,-11.5079003,-11.50812,0.0002197000000006,3.056635517,3.12863,-0.0719944829999997
"COWNOSE RAY",270,-11.5079003,-11.44102,-0.0668802999999993,NA,3.1137,NA
"COWNOSE RAY",270,-11.5079003,-11.59491,0.0870097000000012,NA,3.14828,NA
"COWNOSE RAY",270,-11.5079003,-11.50812,0.0002197000000006,NA,3.12863,NA
"COWNOSE RAY",270,-11.5079003,-11.44102,-0.0668802999999993,NA,3.1137,NA
"COWNOSE RAY",270,-11.5079003,-11.59491,0.0870097000000012,NA,3.14828,NA
"COWNOSE RAY",270,-11.5079003,-11.50812,0.0002197000000006,NA,3.12863,NA
"CUNNER",176,-11.7798579,-11.4529,-0.3269579,3.221287626,3.16067,0.060617626
"CUNNER",176,-11.7798579,-11.5785,-0.2013579,3.221287626,3.2117,0.00958762600000007
"CUNNER",176,-11.7798579,-11.1034,-0.676457899999999,3.221287626,3.0162,0.205087626
"CUNNER",176,-11.7798579,-11.4529,-0.3269579,3.215209578,3.16067,0.054539578
"CUNNER",176,-11.7798579,-11.5785,-0.2013579,3.215209578,3.2117,0.00350957800000007
"CUNNER",176,-11.7798579,-11.1034,-0.676457899999999,3.215209578,3.0162,0.199009578
"CUNNER",176,-11.7798579,-11.4529,-0.3269579,3.21497614,3.16067,0.05430614
"CUNNER",176,-11.7798579,-11.5785,-0.2013579,3.21497614,3.2117,0.00327614000000009
"CUNNER",176,-11.7798579,-11.1034,-0.676457899999999,3.21497614,3.0162,0.19877614
"CUNNER",176,-11.7798579,-11.4529,-0.3269579,3.220821567,3.16067,0.0601515670000001
"CUNNER",176,-11.7798579,-11.5785,-0.2013579,3.220821567,3.2117,0.00912156700000022
"CUNNER",176,-11.7798579,-11.1034,-0.676457899999999,3.220821567,3.0162,0.204621567
"CUSK",84,-12.35376836,-12.0756,-0.27816836,3.206301214,3.14803,0.0582712139999999
"CUSK",84,-12.35376836,-12.0186,-0.335168360000001,3.206301214,3.13081,0.0754912139999999
"CUSK",84,-12.35376836,-12.214,-0.13976836,3.206301214,3.1785,0.0278012139999997
"CUSK",84,-12.35376836,-12.0756,-0.27816836,3.213021029,3.14803,0.0649910290000002
"CUSK",84,-12.35376836,-12.0186,-0.335168360000001,3.213021029,3.13081,0.0822110290000002
"CUSK",84,-12.35376836,-12.214,-0.13976836,3.213021029,3.1785,0.034521029
"CUSK",84,-12.35376836,-12.0756,-0.27816836,3.208942962,3.14803,0.0609129620000002
"CUSK",84,-12.35376836,-12.0186,-0.335168360000001,3.208942962,3.13081,0.0781329620000002
"CUSK",84,-12.35376836,-12.214,-0.13976836,3.208942962,3.1785,0.030442962
"CUSK",84,-12.35376836,-12.0756,-0.27816836,3.232869574,3.14803,0.0848395740000001
"CUSK",84,-12.35376836,-12.0186,-0.335168360000001,3.232869574,3.13081,0.102059574
"CUSK",84,-12.35376836,-12.214,-0.13976836,3.232869574,3.1785,0.0543695739999999
"FAWN CUSK-EEL",194,-13.02665473,-12.94296,-0.0836947300000013,3.000422661,2.97184,0.0285826610000002
"FAWN CUSK-EEL",194,-13.02665473,-12.82463,-0.20202473,3.000422661,2.93256,0.0678626609999999
"FAWN CUSK-EEL",194,-13.02665473,-13.3579,0.33124527,3.000422661,3.11461,-0.114187339
"FAWN CUSK-EEL",194,-13.02665473,-12.94296,-0.0836947300000013,2.994988377,2.97184,0.0231483770000001
"FAWN CUSK-EEL",194,-13.02665473,-12.82463,-0.20202473,2.994988377,2.93256,0.0624283769999998
"FAWN CUSK-EEL",194,-13.02665473,-13.3579,0.33124527,2.994988377,3.11461,-0.119621623
"FAWN CUSK-EEL",194,-13.02665473,-12.94296,-0.0836947300000013,2.962421915,2.97184,-0.00941808499999963
"FAWN CUSK-EEL",194,-13.02665473,-12.82463,-0.20202473,2.962421915,2.93256,0.0298619150000001
"FAWN CUSK-EEL",194,-13.02665473,-13.3579,0.33124527,2.962421915,3.11461,-0.152188085
"FAWN CUSK-EEL",194,-13.02665473,-12.94296,-0.0836947300000013,2.980204816,2.97184,0.00836481600000027
"FAWN CUSK-EEL",194,-13.02665473,-12.82463,-0.20202473,2.980204816,2.93256,0.047644816
"FAWN CUSK-EEL",194,-13.02665473,-13.3579,0.33124527,2.980204816,3.11461,-0.134405184
"FOURSPOT FLOUNDER",104,-12.36562232,-12.3202,-0.0454223200000001,3.163787481,3.1463,0.0174874809999999
"FOURSPOT FLOUNDER",104,-12.36562232,-12.2648,-0.100822320000001,3.163787481,3.1239,0.0398874810000001
